date,percentile_rank,z_score,mc_mean,mc_std,actual,actual_vs_mean_pct
2024-01-01,4.4,-1.7209483383417246,587.7118786004464,27.329046335474093,540.68,-8.002540073283237
2024-01-02,3.6,-1.788133863375494,527.1901831210585,26.16704615425039,480.4,-8.875389682723679
2024-01-03,7.800000000000001,-1.4565181955563338,589.4818143906174,27.84847663273179,548.92,-6.88092718051847
2024-01-04,4.6000000000000005,-1.6347057241793397,575.7423748447213,28.783390499006742,528.69,-8.172470344468108
2024-01-05,11.8,-1.2228055845362018,520.5362100248511,25.462926564777856,489.4,-5.981564668357009
2024-01-06,4.0,-1.7509638434632828,585.2577857182447,28.166077872706783,535.94,-8.42667742689155
2024-01-07,12.3,-1.1468004836975862,410.01346307292056,21.209846239072764,385.69,-5.9323571695972905
2024-01-08,7.7,-1.3896060441857006,598.0737351812124,29.212404451935168,557.48,-6.7874131220480365
2024-01-09,2.8000000000000003,-1.8648451057904147,548.6812861425034,26.935901604743602,498.45,-9.154911496190032
2024-01-10,8.6,-1.3257067475857494,587.6646341983611,28.727795903589104,549.58,-6.480674858086822
2024-01-11,3.0,-1.9181429381131183,580.3918450142766,29.11766479252857,524.54,-9.623127115595976
2024-01-12,2.3000000000000003,-1.9151820448544614,569.153113810836,27.027776307075563,517.39,-9.09476071636498
2024-01-13,2.9000000000000004,-1.8952573349135828,582.8267820270953,27.319129269693,531.05,-8.883734176904778
2024-01-14,1.0,-2.2985105197617757,486.9892941057653,24.09355594900406,431.61,-11.371768286499107
2024-01-15,4.2,-1.7531034800488587,576.7648832106026,29.099754827979343,525.75,-8.845005078434154
2024-01-16,6.9,-1.4634483923651251,575.7998070077462,27.947555757807294,534.9,-7.103129683264376
2024-01-17,8.4,-1.3600292920773935,575.6720274132741,29.14056798931767,536.04,-6.884480316223939
2024-01-18,3.8000000000000003,-1.7587491303524927,575.4578361694936,27.796934518424575,526.57,-8.495467972929694
2024-01-19,0.6000000000000001,-2.4630126545400985,568.142112695738,25.75387102287121,504.71,-11.164832051397033
2024-01-20,4.800000000000001,-1.6039800804136066,481.861409123007,23.772993184051394,443.73,-7.91335608145225
2024-01-21,3.8000000000000003,-1.77863086643847,561.7746257327923,26.80411368865146,514.1,-8.486432734587169
2024-01-22,9.200000000000001,-1.3147467851984824,556.2336792299221,26.867286014958914,520.91,-6.350510684435006
2024-01-23,3.8000000000000003,-1.7691459575913058,553.3124775848247,25.776548068293128,507.71,-8.241722251389804
2024-01-24,2.7,-2.0127478987749203,537.8215772750392,26.675757701682976,484.13,-9.98315789914498
2024-01-25,2.0,-1.9650041865621857,558.4873080519029,27.11816415013647,505.2,-9.541364196400082
2024-01-26,2.7,-1.9084327219731954,464.5025802462425,22.249973944015267,422.04,-9.141516549538252
2024-01-27,4.1000000000000005,-1.7779702196820701,486.97528950997577,23.501680325937873,445.19,-8.580576963570918
2024-01-28,8.5,-1.389458124661384,481.3446666392358,23.53771205429307,448.64,-6.794438352788013
2024-01-29,8.9,-1.327977228354744,477.85867882986526,23.83224412748266,446.21,-6.623020619268349
2024-01-30,1.5,-2.24813746600412,534.194317581957,26.023459961194508,475.69,-10.95187942971354
2024-01-31,0.8,-2.493704310100959,506.73439523595925,24.952594616053645,444.51,-12.279489180319935
2024-02-01,1.7000000000000002,-2.045872215870401,511.43703797034493,25.855493570974595,458.54,-10.34282502891628
2024-02-02,0.8,-2.381384442108589,525.4176169150584,25.81171416373563,463.95,-11.698811561736333
2024-02-03,11.8,-1.2125760484528691,444.55923013442975,21.556774896885717,418.42,-5.879808215100047
2024-02-04,8.6,-1.3449141280092924,468.52713291413187,22.527186634631285,438.23,-6.466462833366893
2024-02-05,11.0,-1.187533276001803,446.04966917005845,22.045418441382203,419.87,-5.869227348328632
2024-02-06,0.0,-12.457440546747476,491.563195434253,24.58395701970838,185.31,-62.301896944034866
2024-02-08,0.0,-16.03712191718437,538.8023223724853,26.090236670647187,120.39,-77.6559983130934
2024-02-09,26.700000000000003,-0.664125435784512,427.26590542913414,22.128206469985393,412.57,-3.4395221435639667
2024-02-10,32.7,-0.3988013481427119,543.3415166357362,26.633601632494674,532.72,-1.9548509198234143
2024-02-11,14.8,-1.0556284452776237,542.7148385088303,27.315328212492894,513.88,-5.313073544857783
2024-02-12,16.1,-0.9896258703815529,535.8149371562441,26.50995386418437,509.58,-4.896268345089827
2024-02-13,17.3,-0.9412057569892488,522.969900693314,25.89221280377973,498.6,-4.6599050272312486
2024-02-14,9.0,-1.3874300980719327,430.1185194286583,21.38379301592031,400.45,-6.897754476619156
2024-02-15,10.200000000000001,-1.2915122543527906,437.96158854855526,21.88255447193229,409.7,-6.4529833865606285
2024-02-16,29.400000000000002,-0.5535842132689909,367.8539422128796,18.360244775182267,357.69,-2.7630374576759764
2024-02-17,29.1,-0.5283717342448266,484.69751162090733,24.16387983127733,471.93,-2.63411948994966
2024-02-18,21.5,-0.8136843586566413,529.0621294701378,25.62680286847285,508.21,-3.941338513686765
2024-02-19,14.5,-1.0629361942397295,522.0216562543625,25.572235980606653,494.84,-5.206997818710779
2024-02-20,26.3,-0.6368581174890586,453.04170930213746,22.566578442844826,438.67,-3.1722706777430165
2024-02-21,30.400000000000002,-0.4944764649421634,513.7948620973236,25.30931700523097,501.28,-2.4357701916748797
2024-02-22,32.6,-0.41829281957841535,511.94952304704174,25.483398542418936,501.29,-2.082143369056766
2024-02-23,19.200000000000003,-0.8659114239718816,506.7708475977811,24.968889580756667,485.15,-4.266395294889058
