timestamp,yield,ghi,seasonal_baseline,seasonal_efficiency,is_healthy_seasonal
2024-01-01,540.68,8607.47,0.06564498066179295,0.06281520585458733,True
2024-01-02,480.4,7742.94,0.06559585849941842,0.0620436164994119,True
2024-01-03,548.92,8677.18,0.06556515517888799,0.06326018360074814,True
2024-01-04,528.69,8447.19,0.06555216611918964,0.06258767707810672,True
2024-01-05,489.4,7646.5,0.06554116739972274,0.06400313868253407,True
2024-01-06,535.94,8602.19,0.06548595295783054,0.06230273917894132,True
2024-01-07,385.69,6003.24,0.06545723527727879,0.06424697329038204,True
2024-01-08,557.48,8776.15,0.06541051311497308,0.06352215948183176,True
2024-01-09,498.45,8045.06,0.06544883944618586,0.061957275637228644,True
2024-01-10,549.58,8617.27,0.06539637811998868,0.06377657888591438,True
2024-01-11,524.54,8508.35,0.06534916692343061,0.06165002614353546,True
2024-01-12,517.39,8372.79,0.06528250152984753,0.06179421673518692,True
2024-01-13,531.05,8563.56,0.0652997307550955,0.0620127610407339,True
2024-01-14,431.61,7138.97,0.06525599181988977,0.060458301399157255,True
2024-01-15,525.75,8478.95,0.06513410788314283,0.06200649843883894,True
2024-01-16,534.9,8457.58,0.06510855194182161,0.06324504171840585,True
2024-01-17,536.04,8441.82,0.0650320205087853,0.06349815560347198,True
2024-01-18,526.57,8482.78,0.06493124806686495,0.06207516874632194,True
2024-01-19,504.71,8357.5,0.06491449780716851,0.06039006879325275,True
2024-01-20,443.73,7051.16,0.06494805765354884,0.06293007107157829,True
2024-01-21,514.1,8230.63,0.0649515127377545,0.06246180425283827,True
2024-01-22,520.91,8153.77,0.06499831424894567,0.06388578534053746,True
2024-01-23,507.71,8111.13,0.06492599456545675,0.06259423778652366,True
2024-01-24,484.13,7913.74,0.06473484386100065,0.06117587890666412,True
2024-01-25,505.2,8177.51,0.06462390999170424,0.061779196838428904,True
2024-01-26,422.04,6825.64,0.0645523316612974,0.06183156450357306,True
2024-01-27,445.19,7145.86,0.06450596343239497,0.062300408899376644,True
2024-01-28,448.64,7061.12,0.06441372645811132,0.06353666273005745,True
2024-01-29,446.21,7017.75,0.06431987836181437,0.06358305723863303,True
2024-01-30,475.69,7828.35,0.06377363735342756,0.06076503987931491,True
2024-01-31,444.51,7423.87,0.06360740346324031,0.05987577906672991,True
2024-02-01,458.54,7503.5,0.06282386225476015,0.06111014858917703,True
2024-02-02,463.95,7714.32,0.06295320402454925,0.060141399363762275,True
2024-02-03,418.42,6517.7,0.06303181327145378,0.06419749297080297,True
2024-02-04,438.23,6879.73,0.06293989636411924,0.0636987207254211,True
2024-02-05,419.87,6568.41,0.06291447015678732,0.0639226235780162,True
2024-02-06,185.31,7190.29,0.06284037657340587,0.02577225674822959,False
2024-02-08,120.39,7916.31,0.06283209506420938,0.01520784304616572,False
2024-02-09,412.57,6274.94,0.06298034643534443,0.06574883583496434,True
2024-02-10,532.72,7977.81,0.0630919952546311,0.06677521775189241,True
2024-02-11,513.88,7973.63,0.06267304284605361,0.0644474348490653,True
2024-02-12,509.58,7866.14,0.06263806147075252,0.06478145569939239,True
2024-02-13,498.6,7665.04,0.06272608093601297,0.06504858421286143,True
2024-02-14,400.45,6311.35,0.06336560691541944,0.0634491828113717,True
2024-02-15,409.7,6433.22,0.06354990762152957,0.06368505972690423,True
2024-02-16,357.69,5394.9,0.06437553156902451,0.06630150696652366,True
2024-02-17,471.93,7112.57,0.0643582812619002,0.06635154380676021,True
2024-02-18,508.21,7764.28,0.06438417133010318,0.06545487797124075,True
2024-02-19,494.84,7669.34,0.06393699604825671,0.0645218493293397,True
2024-02-20,438.67,6656.57,0.06365343823299542,0.06590030600355734,True
2024-02-21,501.28,7538.76,0.06318445487866234,0.06649369391431831,True
2024-02-22,501.29,7516.47,0.06297397429735818,0.0666922105633772,True
2024-02-23,485.15,7429.89,0.0626827544975482,0.06529706360857333,True
2024-02-24,275.06,4154.82,0.062265579530868684,0.06620262729403377,True
2024-02-25,335.11,4949.68,0.06189438583562042,0.06770336666861224,True
2024-03-04,83.18,1188.6,0.06323109919944049,0.06998149077067013,True
2024-03-05,372.93,6013.04,0.0638441675684281,0.062020209401231284,True
2024-03-06,411.8,5910.77,0.06435364513197521,0.06966943391983287,True
2024-03-07,339.02,4747.67,0.06498602099346172,0.07140765889975341,True
2024-03-08,385.05,5578.63,0.06540448625838088,0.06902232267258765,True
2024-03-09,478.86,6852.17,0.06597388276284559,0.06988443076136691,True
2024-03-10,483.42,6815.13,0.06643614671157931,0.07093334975694765,True
2024-03-11,460.48,6754.84,0.06672590117768312,0.0681703785629015,True
2024-03-12,436.18,6297.84,0.06666615306212664,0.06925866645242516,True
2024-03-13,426.54,6042.76,0.06691720656903048,0.07058695032227211,True
2024-03-14,447.53,6446.37,0.06676883318747485,0.06942356705100333,True
2024-03-15,438.41,6366.49,0.06671810616353833,0.06886212024697091,True
2024-03-16,425.16,6062.03,0.06681219185117446,0.07013492178855352,True
2024-03-17,437.81,6363.21,0.06684589257393021,0.06880332409761687,True
2024-03-18,403.35,6084.4,0.06680372533875155,0.06629248569024185,True
2024-03-19,417.71,6092.06,0.06694193872665054,0.06856629775994222,True
2024-03-20,367.04,5486.24,0.06703690902184391,0.06690192188695684,True
2024-03-21,396.31,5980.48,0.06708796538701174,0.0662672561288948,True
2024-03-22,331.45,4859.9,0.06720342410346297,0.06820099177592111,True
2024-03-23,240.94,3482.05,0.06711157399954533,0.06919487081770943,True
2024-03-24,271.86,3959.9,0.0671589348931183,0.06865324880207752,True
